Mon Jul 15 02:35:43 +0000 2019,RT  The initial results and rankings for Q2 contribution rewards have been released! Did you vote for a Tier 1 node and win extra,1150594765450141696,0.26666666666666666,0.16666666666666666
Mon Jul 15 02:36:27 +0000 2019,RT  Interested in over-the-counter (OTC)  trade/exchange? Looking to exchange BTC ETH etc for FIAT? Send us a D,1150594948514930689,0.25,0.5
Mon Jul 15 02:36:42 +0000 2019,RT   101000  GiveawayWe have partnered up with  to giveaway big amounts of $MRO!50 winners in Total ,1150595010351382528,0.0,0.425
Mon Jul 15 02:37:20 +0000 2019,RT    After bitcoin hits 13k and Im waiting for my alt-coins to follow sui,1150595170452287488,0.0,0.0
Mon Jul 15 02:38:02 +0000 2019,RT      At least it's sometime past 2017  ,1150595349117067269,-0.275,0.325
Mon Jul 15 02:38:29 +0000 2019, as of 03.37am GMT+1:( (BTCUSD) -11.40% (ETHUSD) -19.30% (LTCUSD) ,1150595459133521920,-0.75,1.0
Mon Jul 15 02:39:03 +0000 2019,           with ,1150595601362563077,0.0,0.0
Mon Jul 15 02:39:35 +0000 2019, 21:39Precio del  217.01 USD $ETH ,1150595736226209792,0.0,0.0
Mon Jul 15 02:40:03 +0000 2019,Top 5   Alert Time: 2019-07-15 05:40:02 $10103.994 $216.564 $0.303 ,1150595853180162055,0.5,0.5
Thu Jul 18 17:50:20 +0000 2019,    ,1151912100132007937,0.0,0.0
