Mon Jul 15 02:35:37 +0000 2019,See how $NIRX  refurbishes how you see  and  ,1150594739185627136,0.0,0.0
Mon Jul 15 02:36:01 +0000 2019,RT  $BTC : Knocking $10k once again so far bullish pattern is forming which is good.  Plz RT &amp; SHARE  ,1150594838196379653,0.39999999999999997,0.8
Mon Jul 15 02:36:39 +0000 2019,         ,1150594998053642242,0.0,0.0
Mon Jul 15 02:37:02 +0000 2019,RT  $BTC  down 25% in 5 days.,1150595093629472770,-0.15555555555555559,0.2888888888888889
Mon Jul 15 02:37:42 +0000 2019,RT      Cheers to everyone who busted their dip cherry and held on! Welcome,1150595263653928960,0.8,0.9
Mon Jul 15 02:38:11 +0000 2019,Chart of the Day: The ListedReserve Altcoin/Bitcoin Index. Altcoins have yet to recover since ICO Mania - are we at ,1150595383245979649,0.0,0.0
Mon Jul 15 02:38:44 +0000 2019,RT    VeChain Financial Executive Report Vol. 7  ,1150595522186682368,0.0,0.0
Mon Jul 15 02:39:12 +0000 2019, Houston Rockets trading CP3 for Westbrook 'isn't going to work'  Shannon Sharpe | NBA | U ,1150595639517966338,0.0,0.0
Mon Jul 15 02:39:44 +0000 2019,RT  Join me at  today!Be Socialize and Earn $FSTER Token.       ,1150595774381772800,0.0,0.0
Mon Jul 15 02:40:16 +0000 2019,Craigs going to turn States evidence and expose everything. He is human and fallible.He saved Bitcoin once.He ,1150595907546730499,0.0,0.1
