Time,FuturePrice,Sharpe,Score,Polarity,Subjectivity,Open,VolumeCoin,Litecoin,Ethereum,high,low,close,RSI,SMA,Corr,SAR,ADX,Return,Pred_Signal,str_ret,strategy_cu_return,market_cu_return
2019-07-25 18:45:00,10013.1075,1.028945258846191,0.7361477572559367,0.018939393939393936,0.10606060606060606,9921.26,93.4,220.17,93.4,9926.42,9920.41,9921.26,54.79306502469028,9916.217,0.6714370533306281,9934.277199999999,13.466413073517504,-0.00011288251562595083,0,-0.0,0.0,0.0
2019-07-25 18:50:00,10013.1075,1.028945258846191,0.7361477572559367,0.018939393939393936,0.10606060606060606,9893.17,177.52,219.85,93.23,9921.92,9891.16,9893.17,44.81996031550572,9915.711000000001,0.38073503358966043,9928.96776,14.305277058643181,-0.0028353092991226813,0,0.0,0.0,0.0
2019-07-25 18:55:00,10013.1075,1.028945258846191,0.7361477572559367,0.018939393939393936,0.10606060606060606,9903.58,147.07,219.98,93.42,9905.24,9865.32,9903.58,48.66725748095037,9918.368000000002,-0.1843170394801343,9926.42,16.674341194095447,0.0010516878739688716,0,0.0,0.0,0.0
2019-07-25 19:00:00,10013.1075,1.028945258846191,0.7361477572559367,0.018939393939393936,0.10606060606060606,9917.35,54.37,220.01,93.47,9919.37,9901.53,9917.35,53.43859861713576,9919.504000000003,-0.517125137311121,9921.92,17.267795240605327,0.0013894405777429124,0,0.0,0.0,0.0
2019-07-25 19:05:00,10013.1075,1.028945258846191,0.7361477572559367,0.018939393939393936,0.10606060606060606,9920.29,52.54,220.25,93.44,9923.74,9910.13,9920.29,54.44314640848651,9918.127000000002,-0.3487433059092767,9865.32,17.349446474732975,0.0002964062279106073,0,-0.0,0.0,0.0
2019-07-25 19:10:00,10013.1075,1.028945258846191,0.7361477572559367,0.018939393939393936,0.10606060606060606,9911.98,97.18,220.46,93.36,9925.7,9907.84,9911.98,50.98831838976409,9917.638000000003,-0.6584164181113,9877.003999999999,17.59523912030706,-0.0008380281718973612,0,0.0,0.0,0.0
2019-07-25 19:15:00,10013.1075,1.028945258846191,0.7361477572559367,0.018939393939393936,0.10606060606060606,9924.2,48.32,220.74,93.57,9930.61,9910.92,9924.2,55.5926418586247,9916.472000000002,-0.4497503621067794,9886.743199999999,17.24472874572185,0.0012320922219785783,0,-0.0,0.0,0.0
2019-07-25 19:20:00,10013.1075,1.028945258846191,0.7361477572559367,0.018939393939393936,0.10606060606060606,9904.97,46.52,220.34,93.42,9928.39,9903.75,9904.97,47.74933634918471,9913.724000000002,-0.022429610182632974,9895.51656,17.54664952406477,-0.001939567417948428,0,-0.0,0.0,0.0
2019-07-25 19:25:00,10013.1075,1.028945258846191,0.7361477572559367,0.2505952380952381,0.4392857142857143,9901.88,22.05,220.14,93.29,9912.26,9898.95,9901.88,46.57611023647116,9912.106000000003,0.2695724433767354,9930.61,18.222980140277485,-0.00031201327066832866,0,-0.0,0.0,0.0
2019-07-25 19:30:00,10013.1075,1.028945258846191,0.7361477572559367,0.15609848484848482,0.33867424242424243,9898.89,29.57,219.91,93.35,9901.88,9892.13,9898.89,45.37737317720595,9909.757000000001,0.5483297016501905,9928.39,19.393042919347405,-0.00030200845954235245,0,-0.0,0.0,0.0
